loss	mass
HN	15.01090
CH3	15.02348
O	15.99491
H3N (ammonia)	17.02655
H2O (water)	18.01056
CHN	27.01090
CO	27.99491
C2H4 (2xCH2)	28.03130
C2H5 (CH2-CH3)	29.03913
CH2O	30.01056
H5ON (H2O-HN3)	35.03711
H4O2 (2xH2O)	36.02113
C2H2O	42.01056
CHON	43.00581
CO2	43.98983
CHO2	44.99765
H6O3 (3xH2O)	54.03169
C2O2 (2xCO)	55.98983
CH6O3 (combination)	66.03170
H8O4 (4xH2O)	72.04226
C2H2O3 (CH2O-CO2)	74.00039
C3H6O2 (CH3-CH2-COOH)	74.03678
C3O3 (3xCO)	83.98474
C4H9NO (combination)	87.06841
C2O4 (2xCO2)	87.97966
C3H4O3 (pyruvic)	88.01604
C4H8O2 (butyric)	88.05243
C3H7NO2 (alanine)	89.04768
C3H6O3 (sugar)	90.03169
H2O4S (sulfuric)	97.96738
H3O4P (phosphoric)	97.97690
C5H10O2 (valeric)	102.06808
C3H4O4 (malonic)	104.01096
C2H2O5 (CO2-CO2-H2O)	105.99022
C3H8O4 (combination)	108.04226
C5H9NO2 (proline)	115.06333
C4O4H6 (CO2-CO2-CH3-CH3)	118.02661
C4H8O4 (sugar)	120.04226
C2H4O6 (CO2-CO2-H2O-H2O)	124.00079
C6H6O3 (HRF)	126.03169
C5H8O4 (pentose-H2O)	132.04226
C8H8O2 (RDA-1)	136.05243
C6H8O4 (HRF)	144.04226
C9H6O2 (coumaroyl)	146.03678
C6H10O4 (methylpentose/desoxyhexose-H2O)	146.05791
C9H8O2 (cinnamoyl)	148.05243
C7H4O4 (galloyl)	152.01096
C8H8O3 (RDA-2)	152.04734
C9H6O3 (caffeoyl)	162.03169
C6H10O5 (hexose-H2O)	162.05282
C8H8O4 (RDA-3)	168.04226
C8H10O4 (RDA-2-H2O)	170.05791
C6H8O6 (glucuronic-H2O)	176.032090
C10H8O3 (feruloyl)	176.04734
C6H13NO5 (hexose-HN2)	179.07937
C6H12O6 (hexose)	180.06339
C7H12O6 (quinoyl)	192.06339
C6H15NO6 (hexose-HN2-H2O)	197.08994
C6H14O7 (hexose-H2O)	198.07395
C8H12O6 (acetylhexose-H2O)	204.06339
C11H10O4 (sinapoyl)	206.05791
C16H30O (pamitoyl)	238.22967
C9H12O8 (malonylhexose)	248.05322
C13H14O6 (benzoylhexose)	266.07904
C12H20O8 (2xmethylpentose/desoxyhexose-H2O)	292.11582
C15H16O7 (coumaroylhexose)	308.08960
C13H14O9 (galloylhexose)	314.06378
C15H16O8 (caffeoylhexose)	324.08452
C12H20O10 (2xhexose-H2O)	324.10565
C16H18O8 (feruloylhexose)	338.10017
C17H20O9 (sinapoylhexose)	368.11073
C18H30O15 (3xhexose-H2O)	486.15847
