loss	mass
NH	15.01090
CH3	15.02348
O	15.99491
NH3	17.02655
H2O	18.01056
CO	27.99491
C2H4	28.03130
CH2CH3	29.03913
CH2O	30.01056
CH3OH	32.02621
H2O-NH3	35.03711
2(H2O)	36.02113
C2H2O	42.01056
CHNO	43.00581
CO2	43.98983
COOH	44.99765
CH2O2	46.00548
C2H6O	46.04186
3(H2O)	54.03169
2(CO)	55.98983
CH3COOH	60.02113
CH6O3(combination)	66.03169
4(H2O)	72.04226
CH2OCO2	74.00039
CH3-CH2-COOH	74.03678
malonyl	86.00039
C4H9NO(combination)	87.06841
2(CO2)	87.97966
pyruvate	88.01604
butyrate	88.05243
alanine	89.04768
C3H6O3(sugar)	90.03169
5(H2O)	90.05282
H2SO4	97.96738
H3PO4	97.97690
valerate	102.06808
CO2-CO2-H2O	105.99022
C3H8O4(combination)	108.04226
proline	115.06333
CO2-CO2-C2H6	118.02661
2(CH3-COOH)(sugar)	120.04226
CO2-CO2-H2O-H2O	124.00079
C6H6O3(HRF)	126.03169
Pentose-H2O	132.04226
RDA(C8H8O2)	136.05243
C6H8O4(HRF) 144.04226
coumaroyl	146.03678
Methylpentose/Desoxyhexose-H2O	146.05791
cinnamoyl	148.05243
galloyl	152.01096
RDA(C8H8O3)	152.04734
caffeoyl	162.03169
Hexose-H2O	162.05282
RDA(C8H8O4)	168.04226
RDA(C8H8O3)-H2O	170.05791
glucuronate	176.032090
feruloyl	176.04734
C6H13NO5(HexoseNH2)	179.07937
hexose	180.06339
quinoyl	192.06339
C6H15NO6(HexoseNH2H2O)	197.08994
hydrated_hexose	198.07395
acetylhexoseH2O	204.06339
sinapoyl	206.05791
pamitoyl	238.22967
malonylhexose	248.05322
benzoylhexose	266.07904
2(Methylpentose/Desoxyhexose(Rhamnose)-H2O)	292.11582
coumaroylhexose	308.08960
galloylhexose	314.06378
caffeoylhexose	324.08452
dihexose	324.10565
feruloylhexose	338.10017
sinapoylhexose	368.11073
trihexose	486.15847
