cluster index	componentindex
1	4
2	1
3	9
4	2
6	9
7	3
9	4
12	5
14	18
15	6
16	11
17	9
18	7
19	38
20	8
22	9
24	10
25	11
26	12
27	13
28	9
30	14
31	15
32	16
33	17
35	11
36	18
38	13
41	32
44	15
46	19
47	20
48	21
49	22
55	23
57	24
58	21
62	3
63	25
64	26
65	9
66	9
67	27
69	28
70	20
71	42
72	18
74	20
78	26
80	49
81	29
82	30
83	31
86	32
87	22
89	33
93	29
95	53
97	34
98	35
100	36
102	37
104	38
108	39
109	40
110	20
111	37
112	41
113	42
114	5
116	37
117	37
118	38
127	41
128	43
129	44
130	45
131	46
134	47
139	48
140	49
143	50
144	42
147	15
148	51
156	26
159	52
162	53
164	54
165	55
170	46
172	18
189	2
194	47
203	21
218	50
231	16
253	30
269	55
283	18
291	17
294	55
301	19
366	44
379	6
394	34
415	25
448	7
451	36
505	37
590	31
594	14
669	8
756	9
770	13
785	10
813	31
828	3
829	13
913	51
1001	23
1026	1
1544	29
1931	27
2305	24
2674	16
2750	33
2824	12
2837	39
2878	26
3125	28
3328	52
3691	43
3695	38
3746	38
3980	24
4376	41
5225	48
5358	55
6405	40
6504	54
6815	35
7599	45
