CLUSTERID1	CLUSTERID2	candidate_score_similarity	feature_spectrum_entropy	feature_spectrum_peaks
1	9	0.901277363300323	2.92820204525676	148
1	10	0.953329920768738	2.92820204525676	148
9	10	0.894859135150909	3.10863071150946	122
11	20	0.710178673267365	2.06908418540431	88
2	2		0.572183760930055	32
3	3		2.84421019936806	110
4	4		2.013193184599	84
5	5		0.920529240213939	28
6	6		2.6803081791929	128
7	7		3.24089365309371	166
8	8		1.22750938625345	88
10	10		2.86775066729119	154
12	12		1.2136256074598	90
13	13		0.816641588261145	36
14	14		0.936185892270507	34
15	15		2.08409531230824	110
16	16		1.33076630770464	32
17	17		2.95203978699458	106
18	18		1.94754900728756	78
19	19		2.21311283232291	20
20	20		2.44768166105412	100
