row ID,row m/z,row retention time,0_AR_Blk_C18_Pos.mzML Peak area,1_AR_Arnica_C18_Pos.mzML Peak area,2_AR_Cinchona_C18_Pos.mzML Peak area,3_AR_Ginkgo_C18_Pos.mzML Peak area,4_AR_Panax_C18_Pos.mzML Peak area,5_AR_Salvia_C18_Pos.mzML Peak area
1,294.154304395884,0.28103085200000000,0.0,892335621.2078300,1832240.8521710300,27865201.63300500,124824729.262919,14710675.98747290
2,268.10353501502900,0.2336211233333330,2691.0109010039100,362430109.5276690,1983480.7236373100,13987146.548862300,150101702.82845000,23930730.92974360
3,280.1387571772680,0.214222162,0.0,385944064.012744,1764269.750783000,28447832.38921910,36013058.05255600,10119630.155393300
4,520.3392062623030,10.5131858,0.0,404996620.4323460,12628919.312960700,52368210.49281100,8888215.448147780,1295337.6389887600
5,301.070604525337,4.741003600000000,0.0,269095089.6975580,334124.8519843800,2183817.038246490,150563.57954244100,261462634.18405500
6,266.12305907917200,0.19846394,0.0,187725175.72878700,4880119.753757090,28012845.27539490,139884279.72614800,3802871.3464345900
7,328.1387381620450,0.433656846,0.0,298722427.41904300,462262.67401968500,6074477.6259340800,37711550.13498140,813051.5398947940
8,315.08635466044600,6.7685080600000000,0.0,258864706.89147300,275386.9264862780,171355.8633602230,1331858.5465659900,93783696.18221240
9,276.1438834221660,0.27958086600000000,0.0,161279413.59630900,277801.9486965840,5063820.2650549400,23759595.025264500,2466355.093926630
10,294.15431900882600,0.24692483400000000,0.0,78089999.28369470,257586.7389277430,30517559.824450500,133907984.3104830,1662888.4055988000
11,394.1882598716220,5.6472155600000000,0.0,219869615.53880000,334891.1873012840,133784.1436234390,6593.268723046740,41096.40277762690
12,449.10772704699000,2.798201225,0.0,172309149.54668500,0.0,27915973.122800500,12235.525352665900,2695480.442241090
13,210.11556466066700,0.28103085200000000,0.0,120065407.10645500,229199.26508033200,3965884.9336194800,76501270.89667850,5396406.989765640
14,381.0789285539870,0.18847149,0.0,88598807.39946980,25133789.250472900,374347829.2353440,229645856.9917890,119293268.8973960
15,518.3234693820250,9.720225200000000,0.0,144766904.99925700,1203263.617172260,44050585.52985850,178412.95162046000,1148338.8529815500
16,293.06312324825300,0.191013976,0.0,80982097.39712730,6587794.820807970,22932113.38062950,191737.6478322190,10649764.46409070
17,252.10749241144300,0.206435122,0.0,100740610.11870300,986327.6456007290,9991921.89496354,15649301.837859600,4005707.215381460
18,496.3398787806090,11.0838388,0.0,167531560.08276300,13690169.50500320,69947417.23838450,6547531.2313265900,13958641.272025300
19,219.0264594645230,0.192724185,1376.7576013314000,29330893.80414820,5567517.479303100,7094969.801845850,1074365.337923510,22983727.86871370
